Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
New Orleans Saints,29,Paulson Adebo,DB,6-1,192,24,2,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports Group
New Orleans Saints,0,Ugo Amadi,DB,5-9,201,26,4,Michael Hoffman,Sports Law and Management (SLAM),Michael Hoffman,SLAM
New Orleans Saints,53,Zack Baun,LB,6-3,225,26,2,-,-,-,CAA Sports
New Orleans Saints,5,Lynn Bowden,WR,5-11,204,26,3,-,-,-,Element Sports Group
New Orleans Saints,90,Bryan Bresee,DT,6-5,305,--,1,Todd France/Kyle McCarthy,Athletes First,"Todd France, Kyle McCarthy",Athletes First)
New Orleans Saints,4,Derek Carr,QB,6-3,214,32,9,Timothy Younger,Younger & Associates,Timothy Younger,Younger & Associates
New Orleans Saints,56,Demario Davis,LB,6-2,248,34,11,-,-,Tom Condon,CAA Sports
New Orleans Saints,55,Isaiah Foskey,DE,6-5,265,--,1,Jimmy Halsell,3 Strand Sports & Entertainment,-,3 Strand Sports
New Orleans Saints,73,Max Garcia,OG,6-4,309,31,8,Michael Perrett,Priority Sports,Michael Perrett,Element Sports Group
New Orleans Saints,80,Jimmy Graham,TE,6-6,260,36,12,-,-,Jimmy Sexton,Athletic Resource Management
New Orleans Saints,96,Carl Granderson,DE,6-5,261,26,4,-,-,-,CAA Sports
New Orleans Saints,48,J.T. Gray,DB,6-0,202,27,5,-,-,-,-
New Orleans Saints,19,Blake Grupe,K,5-7,156,--,1,-,-,-,-
New Orleans Saints,3,Jake Haener,QB,6-1,200,--,1,Travis Allen,Athletes First,-,Athletes First
New Orleans Saints,39,Louis Hedley,P,6-4,220,--,-,-,-,-,-
New Orleans Saints,7,Taysom Hill,QB,6-2,221,33,6,Graylan Crain,CAA Football,Graylan Crain,Select Sports Group
New Orleans Saints,31,Jordan Howden,DB,6-0,209,--,1,-,-,-,-
New Orleans Saints,74,James Hurst,OT,6-5,310,31,9,-,-,-,-
New Orleans Saints,52,D'Marco Jackson,LB,6-1,233,25,1,-,-,-,Element Sports Group
New Orleans Saints,83,Juwan Johnson,TE,6-4,231,27,3,-,-,-,Vayner Sports
New Orleans Saints,28,Lonnie Johnson,DB,6-2,213,26,4,Michael Perrett,Priority Sports,Michael Perrett,Element Sports Group
New Orleans Saints,94,Cameron Jordan,DE,6-4,287,34,12,Shahin Aslani,Wasserman Media Group,Doug Hendrickson,Wasserman Media Group
New Orleans Saints,41,Alvin Kamara,RB,5-10,215,27,6,Jake Smith,Revolution Sports,-,Revolution Sports
New Orleans Saints,18,Keith Kirkwood,WR,6-3,210,29,4,Jason Katz,Katz Brothers Sports,-,Katz Brothers Sports
New Orleans Saints,92,Tanoh Kpassagnon,DE,6-7,289,29,6,-,-,-,Goal Line Sports
New Orleans Saints,23,Marshon Lattimore,DB,6-0,192,27,6,-,CAA Sports,-,CAA Sports
New Orleans Saints,32,Tyrann Mathieu,DB,5-9,190,31,10,-,-,RJ Gonser,CAA Sports
New Orleans Saints,6,Marcus Maye,DB,6-0,207,30,6,William McElroy,Select Sports Group,-,Select Sports Group
New Orleans Saints,78,Erik McCoy,C,6-4,303,26,3,-,-,Bill Johnson,-
New Orleans Saints,25,Kendre Miller,RB,6-0,220,--,1,Shahin Aslani,Wasserman Media Group,-,Wasserman
New Orleans Saints,87,Foster Moreau,TE,6-4,250,26,4,Jeremy Cohen and Seth Katz,JL Sports and AMG Pro Sports,"Seth Katz, Joe Linta",JL Sports
New Orleans Saints,12,Chris Olave,WR,6-0,187,23,1,Drew Rosenhaus/Jason Rosenhaus,Rosenhaus Sports Representation,"Drew Rosenhaus, Jason Rosenhaus",Rosenhaus Sports Representation
New Orleans Saints,75,Andrus Peat,OG,6-7,316,30,8,-,-,Tom Condon,CAA Sports
New Orleans Saints,70,Trevor Penning,OT,6-7,325,24,1,Charles Lilly,WME Sports,-,WME Sports
New Orleans Saints,17,A.T. Perry,WR,6-5,205,--,1,-,-,-,-
New Orleans Saints,91,Kyle Phillips,DE,6-4,277,28,3,-,-,-,-
New Orleans Saints,71,Ryan Ramczyk,OT,6-6,314,29,6,Travis Allen,Athletes First,-,Athletes First
New Orleans Saints,97,Malcolm Roach,DT,6-3,290,25,3,-,-,-,-
New Orleans Saints,51,Cesar Ruiz,OG,6-4,316,24,3,-,-,"Tory Dandy, Jimmy Sexton",CAA Sports
New Orleans Saints,64,Nick Saldiveri,OG,6-6,316,--,1,Christopher Cabott,Equity Sports,Christopher Cabott,Equity Sports
New Orleans Saints,99,Khalen Saunders,DT,6-0,324,27,4,Joe Panos/Blaine Roche/Kyle McCarthy,Athletes First,"Kyle McCarthy, Blaine Roche",Athletes First
New Orleans Saints,45,Nephi Sewell,LB,6-0,228,24,1,-,-,-,-
New Orleans Saints,22,Rashid Shaheed,WR,6-0,180,25,1,-,-,-,-
New Orleans Saints,93,Nathan Shepherd,DT,6-4,315,30,5,Bardia Ghahremani,International Sports Agency,Bardia Ghahremani,International Sports Agency
New Orleans Saints,42,Ty Summers,LB,6-1,241,27,4,Ronald Slavin,"SPORTSTARS, INC.",Ronald Slavin,"SPORTSTARS, INC."
New Orleans Saints,1,Alontae Taylor,DB,6-1,199,24,1,Adisa Bakari,The Sports & Entertainment Group ,-,The Sports & Entertainment Group
New Orleans Saints,13,Michael Thomas,WR,6-3,212,29,7,David Mulugheta/Andrew Kessler,Athletes First,"Andrew Kessler, David Mulugheta",Athletes First
New Orleans Saints,20,Pete Werner,LB,6-3,242,24,2,Joel Segal,WME Football,Joel Segal,SportFive
New Orleans Saints,21,Jamaal Williams,RB,6-0,213,28,6,Cameron Foster,Steinberg Sports & Entertainment,-,Steinberg Sports & Entertainment
New Orleans Saints,2,Jameis Winston,QB,6-4,231,29,8,-,-,Reggie Johnson,Stellar Group
New Orleans Saints,49,Zach Wood,LS,6-3,255,30,6,Mike Abadir,SAPROS Sports Management,Mike Abadir,-
New Orleans Saints,27,Isaac Yiadom,DB,6-1,188,27,5,Kyle Dolan,VaynerSports,"Tommy Sims, Brian McLaughlin, Mook Williams",VaynerSports
New Orleans Saints,67,Landon Young,OT,6-7,321,--,2,William Heck,"SPORTSTARS, INC.",Dave Butz,"SPORTSTARS, INC."
New Orleans Saints,31,Eno Benjamin,RB,5-9,207,24,3,Drew Rosenhaus,Rosenhaus Sports Representation,Drew Rosenhaus,Rosenhaus Sports Representation
New Orleans Saints,50,Andrew Dowell,LB,6-1,225,26,2,-,-,-,Kelli Masters Management
New Orleans Saints,46,Adam Prentice,RB,6-0,245,26,2,-,-,-,-
New Orleans Saints,98,Payton Turner,DE,6-6,270,24,2,Graylan Crain,CAA Football,"Graylan Crain, Jeff Nalley",Select Sports Group
New Orleans Saints,-,Trai Turner,OG,6-3,320,30,9,Drew Rosenhaus/Ryan Matha,Rosenhaus Sports Representation,Drew Rosenhaus/Ryan Matha,Rosenhaus Sports Representation
New Orleans Saints,24,Johnathan Abram,DB,6-0,205,27,4,Neil Robinson,AthElite Agency,Neil Robinson,MVA Sports
New Orleans Saints,11,Cameron Dantzler,DB,6-2,188,25,3,Jovan Barnes,Independent Sports & Entertainment ,-,Independent Sports & Entertainment 
New Orleans Saints,77,Cameron Erving,OT,6-5,313,31,8,Isaac Conner,A3 Athletics,Isaac Conner,Allegiant Athletic Agency
New Orleans Saints,68,Mark Evans,OT,6-4,295,--,1,-,-,-,-
New Orleans Saints,95,Jack Heflin,DT,6-3,304,25,2,-,-,-,-
New Orleans Saints,-,Faion Hicks,DB,5-10,192,25,1,-,-,Neil S. Schwartz,-
New Orleans Saints,-,Tommy Hudson,TE,6-5,255,26,2,-,-,-,-
New Orleans Saints,-,Michael Jacobson,TE,6-7,244,26,1,-,-,-,-
New Orleans Saints,85,Jontre Kirklin,WR,6-0,184,25,1,-,-,-,-
New Orleans Saints,62,Tommy Kraemer,OG,6-6,309,25,2,-,-,-,-
New Orleans Saints,54,Niko Lalos,DE,6-5,270,26,2,-,-,-,-
New Orleans Saints,54,Cory Littleton,LB,6-3,225,29,7,-,-,-,-
New Orleans Saints,33,Jordan Mims,RB,5-10,206,--,1,-,-,-,-
New Orleans Saints,58,Anfernee Orji,LB,6-2,230,--,1,-,-,-,-
New Orleans Saints,26,Daniel Sorensen,DB,6-2,208,33,9,Craig Domann,360 Sports LLC,-,360 Sports LLC
New Orleans Saints,--,Jordan Willis,DE,6-4,260,28,6,-,-,-,Caric Sports Management
New Orleans Saints,43,Ryan Connelly,LB,6-2,236,28,4,Michael Perrett,Priority Sports,Michael Perrett,Element Sports Group
New Orleans Saints,88,Shaquan Davis,WR,6-5,180,--,-,-,-,-,-
